kf, mse, mae, mape, r2
1,0.11297284389528144,0.27277746494889493,0.08374690287384862,0.2885034404344673
1,0.1069878664204331,0.2834809090552713,0.08866823596969671,0.3261964889194551
1,0.13207006458793674,0.3030618652784583,0.09522494971401387,0.16823022829259382
1,0.13061289260588302,0.30991050398020337,0.09572931260223423,0.17740741474005128
1,0.08878955154838188,0.24151002249443246,0.07420168111188813,0.44080844321669055
2,0.06947522367536747,0.22244818367561142,0.07349073742555227,0.11474184459807091
2,0.0990657825063888,0.2538380332697329,0.0835196112100678,-0.2623031239861724
2,0.09135384861520891,0.25270380151332683,0.08244181357583043,-0.1640371233902207
2,0.05633569484367156,0.19892370056514305,0.06503803393139693,0.2821666392377993
2,0.08097683069284665,0.230562551952504,0.07478652496344909,-0.031812435817459406
3,0.0702187222545383,0.21328863667594047,0.06287470002238175,-0.478164113622767
3,0.06444076904821777,0.19579490123813267,0.057770093768809434,-0.3565332606884897
3,0.08803974304206852,0.23570687582895297,0.06948550025938743,-0.8533118313605386
3,0.07180103605720253,0.2109288606922342,0.06219415089267838,-0.5114731714422729
3,0.09240860083451045,0.23674290832552436,0.06909259074310112,-0.945280021594753
4,0.07664997270528728,0.222399719805181,0.0677805042919271,0.39124358139330695
4,0.06087351312477265,0.20075091612278148,0.0628118957769956,0.5165407040609691
4,0.06726372256524452,0.19021568020328947,0.057838344588848754,0.4657894659870122
4,0.06489144920448373,0.20168064928768245,0.06129449350042569,0.4846301332969065
4,0.0729946320319204,0.20766116981610366,0.06374178642801692,0.42027440839258
5,0.018404585334381638,0.10579104961196496,0.03316990082983744,0.6473914481441465
5,0.026621226798164217,0.12838736314291777,0.03980117033782866,0.4899710012813332
5,0.021079875836513974,0.12457382720382551,0.03946808066300407,0.5961362694692776
5,0.028778741148892034,0.1399768388276791,0.04361731703437222,0.4486357580798912
5,0.027888183164561958,0.1481996314673753,0.04660917787539994,0.4656977214707033
6,0.03577495899056671,0.15517793438690983,0.045486648885403304,0.7146110513370826
6,0.034789774332774394,0.15749360652524735,0.04716985727374583,0.7224702025886696
6,0.02989899341639678,0.13309583596103836,0.03956345033106788,0.7614856162536778
6,0.03853098223073333,0.16841578302633534,0.04971890053043595,0.6926253217319385
6,0.05770495565156085,0.19091226919258453,0.05597092747549787,0.5396680502028899
7,0.11470921166030681,0.22936140588848614,0.06414937653973816,0.14368368526073427
7,0.08111401643216377,0.1962140372201936,0.05637866876298105,0.3944753466654157
7,0.09717291108599646,0.2373491847050515,0.06848152097306567,0.27459401115873494
7,0.05512154281472715,0.1799007764939496,0.0524696298386154,0.5885118926139121
7,0.10729004908685215,0.21716417368220853,0.061191826600216985,0.19906851322177055
8,0.051132386881427176,0.18256538469693664,0.056442877735093655,0.3723324953798709
8,0.04665647196684919,0.18227730124728264,0.057280141796029464,0.42727587895083496
8,0.04842663931341555,0.1781545699698221,0.05414813337272277,0.40554647046936
8,0.04783454765185184,0.18235621193491539,0.05591622577768806,0.4128145977441904
8,0.03903366027538759,0.16997911534546964,0.05176665284765248,0.5208484947503675
